Model,Method,Epsilon,Metric,Value
DA_shadow,no_dp,,acc,0.5808620007908264
DA_shadow,no_dp,,rec,0.7059352967648382
DA_shadow,no_dp,,pre,0.6412317754462461
DA_shadow,no_dp,,f1,0.672029702970297
DA_shadow,laplace,2.01,acc,0.580268307986495
DA_shadow,laplace,2.01,rec,0.739352144140644
DA_shadow,laplace,2.01,pre,0.6368542145994561
DA_shadow,laplace,2.01,f1,0.6842862279755484
DA_shadow,laplace,3.01,acc,0.5851384863605127
DA_shadow,laplace,3.01,rec,0.7322131028119081
DA_shadow,laplace,3.01,pre,0.6429972705561242
DA_shadow,laplace,3.01,f1,0.6847112786393879
DA_shadow,laplace,5.91,acc,0.583046998715229
DA_shadow,laplace,5.91,rec,0.7440143752124715
DA_shadow,laplace,5.91,pre,0.6382269621729711
DA_shadow,laplace,5.91,f1,0.6870725417647717
DA_shadow,laplace,0.091,acc,0.5944605455794915
DA_shadow,laplace,0.091,rec,0.7410033509785828
DA_shadow,laplace,0.091,pre,0.6493318580304707
DA_shadow,laplace,0.091,f1,0.692145433101227
DA_shadow,laplace,0.021,acc,0.5936837073112432
DA_shadow,laplace,0.021,rec,0.7389150599776602
DA_shadow,laplace,0.021,pre,0.6491594845976619
DA_shadow,laplace,0.021,f1,0.691135388039701
DA_shadow,laplace,0.11,acc,0.5894409752308106
DA_shadow,laplace,0.11,rec,0.7356612112087806
DA_shadow,laplace,0.11,pre,0.6460803548579716
DA_shadow,laplace,0.11,f1,0.6879669368939756
DA_shadow,bounded_n,1.91,acc,0.5939824912605695
DA_shadow,bounded_n,1.91,rec,0.7371181584187266
DA_shadow,bounded_n,1.91,pre,0.6499100796437441
DA_shadow,bounded_n,1.91,f1,0.690772556604847
DA_shadow,bounded_n,0.81,acc,0.5923989363291404
DA_shadow,bounded_n,0.81,rec,0.7339128745568452
DA_shadow,bounded_n,0.81,pre,0.649280343716434
DA_shadow,bounded_n,0.81,f1,0.6890074317238863
DA_shadow,bounded_n,5.01,acc,0.5869909468463355
DA_shadow,bounded_n,5.01,rec,0.752756058472148
DA_shadow,bounded_n,5.01,pre,0.6396500495212941
DA_shadow,bounded_n,5.01,f1,0.6916092184815832
DA_shadow,bounded_n,9.91,acc,0.5846903104365233
DA_shadow,bounded_n,9.91,rec,0.7502306833082415
DA_shadow,bounded_n,9.91,pre,0.6382152447841355
DA_shadow,bounded_n,9.91,f1,0.6897044378962407
DA_shadow,bounded_n,0.71,acc,0.5888135289372255
DA_shadow,bounded_n,0.71,rec,0.7441115050264678
DA_shadow,bounded_n,0.71,pre,0.6433760235145917
DA_shadow,bounded_n,0.71,f1,0.6900869251902896
DA_shadow,bounded_n,1.21,acc,0.5897995159700021
DA_shadow,bounded_n,1.21,rec,0.7489679957262881
DA_shadow,bounded_n,1.21,pre,0.6430656325577516
DA_shadow,bounded_n,1.21,f1,0.6919884234850694
DA_shadow,gaussian_a,0.71,acc,0.5891123128865517
DA_shadow,gaussian_a,0.71,rec,0.7435287261424894
DA_shadow,gaussian_a,0.71,pre,0.6437912619317943
DA_shadow,gaussian_a,0.71,f1,0.6900748219597944
DA_shadow,gaussian_a,9.01,acc,0.5899489079446653
DA_shadow,gaussian_a,9.01,rec,0.7282307804380554
DA_shadow,gaussian_a,9.01,pre,0.6484885179258747
DA_shadow,gaussian_a,9.01,f1,0.6860502356224552
DA_shadow,gaussian_a,9.51,acc,0.587976933879112
DA_shadow,gaussian_a,9.51,rec,0.7384294109076781
DA_shadow,gaussian_a,9.51,pre,0.6440340548096065
DA_shadow,gaussian_a,9.51,f1,0.6880090497737555
DA_shadow,gaussian_a,0.91,acc,0.5855269054946368
DA_shadow,gaussian_a,0.91,rec,0.7262881841581273
DA_shadow,gaussian_a,0.91,pre,0.6448622310379026
DA_shadow,gaussian_a,0.91,f1,0.6831574619706728
DA_shadow,gaussian_a,1.41,acc,0.5829872419253638
DA_shadow,gaussian_a,1.41,rec,0.7388664950706619
DA_shadow,gaussian_a,1.41,pre,0.6394048919895772
DA_shadow,gaussian_a,1.41,f1,0.685546919004168
DA_shadow,gaussian_a,4.51,acc,0.5938032208909737
DA_shadow,gaussian_a,4.51,rec,0.7390121897916565
DA_shadow,gaussian_a,4.51,pre,0.6492448161105896
DA_shadow,gaussian_a,4.51,f1,0.6912262372527197
DA_shadow,laplace_truedp,0.01,acc,0.5652693537303176
DA_shadow,laplace_truedp,0.01,rec,0.6549949006847652
DA_shadow,laplace_truedp,0.01,pre,0.6442936989442507
DA_shadow,laplace_truedp,0.01,f1,0.6496002311915999
DA_shadow,laplace_truedp,0.021,acc,0.5650900833607219
DA_shadow,laplace_truedp,0.021,rec,0.6606284298965568
DA_shadow,laplace_truedp,0.021,pre,0.6425298757734637
DA_shadow,laplace_truedp,0.021,f1,0.6514534744504574
DA_shadow,laplace_truedp,1e-05,acc,0.5643132450924736
DA_shadow,laplace_truedp,1e-05,rec,0.6509640134039143
DA_shadow,laplace_truedp,1e-05,pre,0.6444540602913602
DA_shadow,laplace_truedp,1e-05,f1,0.6476926793911573
DA_shadow,laplace_truedp,0.0001,acc,0.5745914129492964
DA_shadow,laplace_truedp,0.0001,rec,0.6589286581516196
DA_shadow,laplace_truedp,0.0001,pre,0.65284126449502
DA_shadow,laplace_truedp,0.0001,f1,0.6558708367573839
DA_shadow,laplace_truedp,0.81,acc,0.591950760405151
DA_shadow,laplace_truedp,0.81,rec,0.754650089845078
DA_shadow,laplace_truedp,0.81,pre,0.6435967528164347
DA_shadow,laplace_truedp,0.81,f1,0.6947133117246005
DA_shadow,laplace_truedp,1.51,acc,0.5883354746183035
DA_shadow,laplace_truedp,1.51,rec,0.7416346947695596
DA_shadow,laplace_truedp,1.51,pre,0.6435585148973829
DA_shadow,laplace_truedp,1.51,f1,0.6891245487364621
DA_shadow,laplace_truedp,0.71,acc,0.5884251098031014
DA_shadow,laplace_truedp,0.71,rec,0.7358554708367734
DA_shadow,laplace_truedp,0.71,pre,0.6450953678474114
DA_shadow,laplace_truedp,0.71,f1,0.6874929104562264
DA_shadow,laplace_truedp,0.001,acc,0.570408437658729
DA_shadow,laplace_truedp,0.001,rec,0.6549949006847652
DA_shadow,laplace_truedp,0.001,pre,0.6496315206396609
DA_shadow,laplace_truedp,0.001,f1,0.652302186109499
Ens_val_shadow,no_dp,,acc,0.585850290476625
Ens_val_shadow,no_dp,,rec,0.7154857742887144
Ens_val_shadow,no_dp,,pre,0.6435349673937486
Ens_val_shadow,no_dp,,f1,0.677605720509542
Ens_val_shadow,laplace,0.91,acc,0.5833457826645553
Ens_val_shadow,laplace,0.91,rec,0.7382837161866835
Ens_val_shadow,laplace,0.91,pre,0.6398686758144625
Ens_val_shadow,laplace,0.91,f1,0.6855622449209677
Ens_val_shadow,laplace,0.41,acc,0.5949087215034808
Ens_val_shadow,laplace,0.41,rec,0.7283279102520519
Ens_val_shadow,laplace,0.41,pre,0.6531509951657157
Ens_val_shadow,laplace,0.41,f1,0.6886939750183688
Ens_val_shadow,laplace,5.91,acc,0.5834652962442858
Ens_val_shadow,laplace,5.91,rec,0.7456170171434122
Ens_val_shadow,laplace,5.91,pre,0.63821915530429
Ens_val_shadow,laplace,5.91,f1,0.6877505767464779
Ens_val_shadow,laplace,0.091,acc,0.5960441005109206
Ens_val_shadow,laplace,0.091,rec,0.7399349230246224
Ens_val_shadow,laplace,0.091,pre,0.6510832870390154
Ens_val_shadow,laplace,0.091,f1,0.6926713947990543
Ens_val_shadow,laplace,0.021,acc,0.5946099375541546
Ens_val_shadow,laplace,0.021,rec,0.7409062211645865
Ens_val_shadow,laplace,0.021,pre,0.6494955085359104
Ens_val_shadow,laplace,0.021,f1,0.6921960072595281
Ens_val_shadow,laplace,1e-05,acc,0.5927275986733993
Ens_val_shadow,laplace,1e-05,rec,0.7432373367005002
Ens_val_shadow,laplace,1e-05,pre,0.6471583220568335
Ens_val_shadow,laplace,1e-05,f1,0.6918782070119125
Ens_val_shadow,bounded_n,8.51,acc,0.5846305536466581
Ens_val_shadow,bounded_n,8.51,rec,0.7340585692778399
Ens_val_shadow,bounded_n,8.51,pre,0.6420712798946518
Ens_val_shadow,bounded_n,8.51,f1,0.6849904830961662
Ens_val_shadow,bounded_n,1.11,acc,0.5923093011443425
Ens_val_shadow,bounded_n,1.11,rec,0.7309989801369531
Ens_val_shadow,bounded_n,1.11,pre,0.6499697728646688
Ens_val_shadow,bounded_n,1.11,f1,0.6881071567350111
Ens_val_shadow,bounded_n,0.81,acc,0.589650123995339
Ens_val_shadow,bounded_n,0.81,rec,0.7299791170899907
Ens_val_shadow,bounded_n,0.81,pre,0.6477483301012713
Ens_val_shadow,bounded_n,0.81,f1,0.686409717782446
Ens_val_shadow,bounded_n,0.11,acc,0.5975380202575518
