nohup: ignoring input
2025-03-15 21:40:37 - INFO - Setup for laplace ...
2025-03-15 21:40:59 - INFO - Starting with epsilon 1e-05 ...
2025-03-15 21:40:59 - INFO - Repeat 1/10 for epsilon 1e-05
2025-03-15 21:40:59 - INFO - Training for patient 100 ...
/home/rbeck1_sw/Zero-Shot-ECG/notebooks/pytorch_sklearn/neural_network/neural_network.py:182: UserWarning: max_epochs is set to -1. Make sure to pass an early stopping method.
  warnings.warn("max_epochs is set to -1. Make sure to pass an early stopping method.")
2025-03-15 21:41:12 - INFO - Training for patient 101 ...
2025-03-15 21:41:22 - INFO - Training for patient 103 ...
2025-03-15 21:41:31 - INFO - Training for patient 106 ...
2025-03-15 21:41:39 - INFO - Training for patient 108 ...
2025-03-15 21:41:48 - INFO - Training for patient 109 ...
2025-03-15 21:41:55 - INFO - Training for patient 111 ...
2025-03-15 21:42:05 - INFO - Training for patient 112 ...
2025-03-15 21:42:13 - INFO - Training for patient 113 ...
2025-03-15 21:42:23 - INFO - Training for patient 115 ...
2025-03-15 21:42:30 - INFO - Training for patient 116 ...
2025-03-15 21:42:42 - INFO - Training for patient 117 ...
2025-03-15 21:42:51 - INFO - Training for patient 118 ...
2025-03-15 21:43:01 - INFO - Training for patient 119 ...
2025-03-15 21:43:10 - INFO - Training for patient 121 ...
2025-03-15 21:43:17 - INFO - Training for patient 122 ...
2025-03-15 21:43:25 - INFO - Training for patient 123 ...
2025-03-15 21:43:34 - INFO - Training for patient 124 ...
2025-03-15 21:43:44 - INFO - Training for patient 200 ...
2025-03-15 21:43:51 - INFO - Training for patient 203 ...
2025-03-15 21:44:03 - INFO - Training for patient 205 ...
2025-03-15 21:44:11 - INFO - Training for patient 208 ...
2025-03-15 21:44:20 - INFO - Training for patient 210 ...
2025-03-15 21:44:29 - INFO - Training for patient 212 ...
2025-03-15 21:44:38 - INFO - Training for patient 214 ...
2025-03-15 21:44:49 - INFO - Training for patient 215 ...
2025-03-15 21:45:00 - INFO - Training for patient 219 ...
2025-03-15 21:45:11 - INFO - Training for patient 220 ...
2025-03-15 21:45:19 - INFO - Training for patient 221 ...
2025-03-15 21:45:26 - INFO - Training for patient 228 ...
2025-03-15 21:45:35 - INFO - Training for patient 230 ...
2025-03-15 21:45:43 - INFO - Training for patient 231 ...
2025-03-15 21:45:52 - INFO - Training for patient 232 ...
2025-03-15 21:46:02 - INFO - Training for patient 233 ...
2025-03-15 21:46:12 - INFO - Repeat 2/10 for epsilon 1e-05
2025-03-15 21:46:12 - INFO - Training for patient 100 ...
2025-03-15 21:46:23 - INFO - Training for patient 101 ...
2025-03-15 21:46:31 - INFO - Training for patient 103 ...
2025-03-15 21:46:39 - INFO - Training for patient 106 ...
2025-03-15 21:46:48 - INFO - Training for patient 108 ...
2025-03-15 21:46:56 - INFO - Training for patient 109 ...
2025-03-15 21:47:07 - INFO - Training for patient 111 ...
2025-03-15 21:47:14 - INFO - Training for patient 112 ...
2025-03-15 21:47:25 - INFO - Training for patient 113 ...
2025-03-15 21:47:35 - INFO - Training for patient 115 ...
2025-03-15 21:47:44 - INFO - Training for patient 116 ...
2025-03-15 21:47:55 - INFO - Training for patient 117 ...
2025-03-15 21:48:05 - INFO - Training for patient 118 ...
2025-03-15 21:48:13 - INFO - Training for patient 119 ...
2025-03-15 21:48:22 - INFO - Training for patient 121 ...
2025-03-15 21:48:33 - INFO - Training for patient 122 ...
2025-03-15 21:48:42 - INFO - Training for patient 123 ...
2025-03-15 21:48:51 - INFO - Training for patient 124 ...
2025-03-15 21:49:01 - INFO - Training for patient 200 ...
2025-03-15 21:49:09 - INFO - Training for patient 203 ...
2025-03-15 21:49:18 - INFO - Training for patient 205 ...
2025-03-15 21:49:25 - INFO - Training for patient 208 ...
2025-03-15 21:49:36 - INFO - Training for patient 210 ...
2025-03-15 21:49:46 - INFO - Training for patient 212 ...
2025-03-15 21:49:55 - INFO - Training for patient 214 ...
2025-03-15 21:50:06 - INFO - Training for patient 215 ...
2025-03-15 21:50:13 - INFO - Training for patient 219 ...
2025-03-15 21:50:22 - INFO - Training for patient 220 ...
2025-03-15 21:50:31 - INFO - Training for patient 221 ...
2025-03-15 21:50:40 - INFO - Training for patient 228 ...
2025-03-15 21:50:48 - INFO - Training for patient 230 ...
2025-03-15 21:50:58 - INFO - Training for patient 231 ...
2025-03-15 21:51:07 - INFO - Training for patient 232 ...
2025-03-15 21:51:19 - INFO - Training for patient 233 ...
2025-03-15 21:51:28 - INFO - Repeat 3/10 for epsilon 1e-05
2025-03-15 21:51:28 - INFO - Training for patient 100 ...
2025-03-15 21:51:40 - INFO - Training for patient 101 ...
2025-03-15 21:51:49 - INFO - Training for patient 103 ...
2025-03-15 21:51:58 - INFO - Training for patient 106 ...
2025-03-15 21:52:09 - INFO - Training for patient 108 ...
2025-03-15 21:52:20 - INFO - Training for patient 109 ...
2025-03-15 21:52:29 - INFO - Training for patient 111 ...
2025-03-15 21:52:40 - INFO - Training for patient 112 ...
2025-03-15 21:52:50 - INFO - Training for patient 113 ...
2025-03-15 21:52:59 - INFO - Training for patient 115 ...
2025-03-15 21:53:08 - INFO - Training for patient 116 ...
2025-03-15 21:53:17 - INFO - Training for patient 117 ...
2025-03-15 21:53:27 - INFO - Training for patient 118 ...
2025-03-15 21:53:37 - INFO - Training for patient 119 ...
2025-03-15 21:53:46 - INFO - Training for patient 121 ...
2025-03-15 21:53:56 - INFO - Training for patient 122 ...
2025-03-15 21:54:07 - INFO - Training for patient 123 ...
2025-03-15 21:54:19 - INFO - Training for patient 124 ...
2025-03-15 21:54:30 - INFO - Training for patient 200 ...
