nohup: ignoring input
2025-03-20 07:38:12 - INFO - Setup for laplace ...
2025-03-20 07:39:55 - INFO - Starting with epsilon 0.11 ...
2025-03-20 07:39:55 - INFO - Repeat 1/10 for epsilon 0.11
2025-03-20 07:39:55 - INFO - Training for patient 100 ...
/home/rbeck1_sw/Zero-Shot-ECG/notebooks/pytorch_sklearn/neural_network/neural_network.py:182: UserWarning: max_epochs is set to -1. Make sure to pass an early stopping method.
  warnings.warn("max_epochs is set to -1. Make sure to pass an early stopping method.")
2025-03-20 07:40:10 - INFO - Training for patient 101 ...
2025-03-20 07:40:18 - INFO - Training for patient 103 ...
2025-03-20 07:40:26 - INFO - Training for patient 106 ...
2025-03-20 07:40:35 - INFO - Training for patient 108 ...
2025-03-20 07:40:44 - INFO - Training for patient 109 ...
2025-03-20 07:40:55 - INFO - Training for patient 111 ...
2025-03-20 07:41:05 - INFO - Training for patient 112 ...
2025-03-20 07:41:14 - INFO - Training for patient 113 ...
2025-03-20 07:41:23 - INFO - Training for patient 115 ...
2025-03-20 07:41:33 - INFO - Training for patient 116 ...
2025-03-20 07:41:42 - INFO - Training for patient 117 ...
2025-03-20 07:41:51 - INFO - Training for patient 118 ...
2025-03-20 07:41:59 - INFO - Training for patient 119 ...
2025-03-20 07:42:08 - INFO - Training for patient 121 ...
2025-03-20 07:42:17 - INFO - Training for patient 122 ...
2025-03-20 07:42:26 - INFO - Training for patient 123 ...
2025-03-20 07:42:34 - INFO - Training for patient 124 ...
2025-03-20 07:42:44 - INFO - Training for patient 200 ...
2025-03-20 07:42:51 - INFO - Training for patient 203 ...
2025-03-20 07:43:00 - INFO - Training for patient 205 ...
2025-03-20 07:43:10 - INFO - Training for patient 208 ...
2025-03-20 07:43:18 - INFO - Training for patient 210 ...
2025-03-20 07:43:27 - INFO - Training for patient 212 ...
2025-03-20 07:43:37 - INFO - Training for patient 214 ...
2025-03-20 07:43:46 - INFO - Training for patient 215 ...
