nohup: ignoring input
2025-05-11 22:26:47 - INFO - Setup for laplace_truedp ...
2025-05-11 22:26:47 - INFO - Skipping existing 1e-05 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.0001 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.001 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.011 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.021 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.031 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.041 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.051 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.061 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.071 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.081 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.091 ...
2025-05-11 22:27:04 - INFO - Starting with epsilon 0.01 ...
2025-05-11 22:27:04 - INFO - Repeat 1/10 for epsilon 0.01
2025-05-11 22:27:04 - INFO - Training for patient 100 ...
/home/rbeck1_sw/Zero-Shot-ECG/notebooks/pytorch_sklearn/neural_network/neural_network.py:182: UserWarning: max_epochs is set to -1. Make sure to pass an early stopping method.
  warnings.warn("max_epochs is set to -1. Make sure to pass an early stopping method.")
2025-05-11 22:27:17 - INFO - Training for patient 101 ...
2025-05-11 22:27:23 - INFO - Training for patient 103 ...
2025-05-11 22:27:29 - INFO - Training for patient 106 ...
2025-05-11 22:27:36 - INFO - Training for patient 108 ...
2025-05-11 22:27:41 - INFO - Training for patient 109 ...
2025-05-11 22:27:47 - INFO - Training for patient 111 ...
2025-05-11 22:27:52 - INFO - Training for patient 112 ...
2025-05-11 22:27:59 - INFO - Training for patient 113 ...
2025-05-11 22:28:05 - INFO - Training for patient 115 ...
2025-05-11 22:28:12 - INFO - Training for patient 116 ...
2025-05-11 22:28:18 - INFO - Training for patient 117 ...
2025-05-11 22:28:23 - INFO - Training for patient 118 ...
2025-05-11 22:28:29 - INFO - Training for patient 119 ...
2025-05-11 22:28:36 - INFO - Training for patient 121 ...
2025-05-11 22:28:42 - INFO - Training for patient 122 ...
2025-05-11 22:28:48 - INFO - Training for patient 123 ...
2025-05-11 22:28:55 - INFO - Training for patient 124 ...
2025-05-11 22:29:01 - INFO - Training for patient 200 ...
2025-05-11 22:29:07 - INFO - Training for patient 203 ...
2025-05-11 22:29:13 - INFO - Training for patient 205 ...
2025-05-11 22:29:19 - INFO - Training for patient 208 ...
2025-05-11 22:29:25 - INFO - Training for patient 210 ...
2025-05-11 22:29:31 - INFO - Training for patient 212 ...
2025-05-11 22:29:37 - INFO - Training for patient 214 ...
2025-05-11 22:29:43 - INFO - Training for patient 215 ...
2025-05-11 22:29:49 - INFO - Training for patient 219 ...
2025-05-11 22:29:56 - INFO - Training for patient 220 ...
2025-05-11 22:30:02 - INFO - Training for patient 221 ...
2025-05-11 22:30:09 - INFO - Training for patient 228 ...
2025-05-11 22:30:15 - INFO - Training for patient 230 ...
2025-05-11 22:30:21 - INFO - Training for patient 231 ...
2025-05-11 22:30:27 - INFO - Training for patient 232 ...
2025-05-11 22:30:34 - INFO - Training for patient 233 ...
2025-05-11 22:30:40 - INFO - Repeat 2/10 for epsilon 0.01
2025-05-11 22:30:40 - INFO - Training for patient 100 ...
2025-05-11 22:30:47 - INFO - Training for patient 101 ...
2025-05-11 22:30:53 - INFO - Training for patient 103 ...
2025-05-11 22:30:59 - INFO - Training for patient 106 ...
2025-05-11 22:31:06 - INFO - Training for patient 108 ...
2025-05-11 22:31:10 - INFO - Training for patient 109 ...
2025-05-11 22:31:16 - INFO - Training for patient 111 ...
2025-05-11 22:31:22 - INFO - Training for patient 112 ...
2025-05-11 22:31:29 - INFO - Training for patient 113 ...
2025-05-11 22:31:36 - INFO - Training for patient 115 ...
2025-05-11 22:31:43 - INFO - Training for patient 116 ...
2025-05-11 22:31:49 - INFO - Training for patient 117 ...
2025-05-11 22:31:55 - INFO - Training for patient 118 ...
2025-05-11 22:32:01 - INFO - Training for patient 119 ...
2025-05-11 22:32:07 - INFO - Training for patient 121 ...
2025-05-11 22:32:12 - INFO - Training for patient 122 ...
2025-05-11 22:32:18 - INFO - Training for patient 123 ...
2025-05-11 22:32:23 - INFO - Training for patient 124 ...
2025-05-11 22:32:29 - INFO - Training for patient 200 ...
2025-05-11 22:32:35 - INFO - Training for patient 203 ...
2025-05-11 22:32:42 - INFO - Training for patient 205 ...
2025-05-11 22:32:47 - INFO - Training for patient 208 ...
2025-05-11 22:32:54 - INFO - Training for patient 210 ...
2025-05-11 22:33:01 - INFO - Training for patient 212 ...
2025-05-11 22:33:07 - INFO - Training for patient 214 ...
2025-05-11 22:33:12 - INFO - Training for patient 215 ...
2025-05-11 22:33:18 - INFO - Training for patient 219 ...
2025-05-11 22:33:25 - INFO - Training for patient 220 ...
2025-05-11 22:33:31 - INFO - Training for patient 221 ...
2025-05-11 22:33:37 - INFO - Training for patient 228 ...
2025-05-11 22:33:42 - INFO - Training for patient 230 ...
2025-05-11 22:33:47 - INFO - Training for patient 231 ...
2025-05-11 22:33:53 - INFO - Training for patient 232 ...
2025-05-11 22:33:58 - INFO - Training for patient 233 ...
2025-05-11 22:34:04 - INFO - Repeat 3/10 for epsilon 0.01
2025-05-11 22:34:04 - INFO - Training for patient 100 ...
2025-05-11 22:34:09 - INFO - Training for patient 101 ...
2025-05-11 22:34:15 - INFO - Training for patient 103 ...
2025-05-11 22:34:22 - INFO - Training for patient 106 ...
2025-05-11 22:34:27 - INFO - Training for patient 108 ...
2025-05-11 22:34:35 - INFO - Training for patient 109 ...
2025-05-11 22:34:40 - INFO - Training for patient 111 ...
2025-05-11 22:34:46 - INFO - Training for patient 112 ...
2025-05-11 22:34:53 - INFO - Training for patient 113 ...
2025-05-11 22:34:59 - INFO - Training for patient 115 ...
2025-05-11 22:35:04 - INFO - Training for patient 116 ...
2025-05-11 22:35:10 - INFO - Training for patient 117 ...
2025-05-11 22:35:16 - INFO - Training for patient 118 ...
2025-05-11 22:35:23 - INFO - Training for patient 119 ...
2025-05-11 22:35:30 - INFO - Training for patient 121 ...
2025-05-11 22:35:35 - INFO - Training for patient 122 ...
2025-05-11 22:35:40 - INFO - Training for patient 123 ...
2025-05-11 22:35:48 - INFO - Training for patient 124 ...
2025-05-11 22:35:55 - INFO - Training for patient 200 ...
2025-05-11 22:36:01 - INFO - Training for patient 203 ...
2025-05-11 22:36:07 - INFO - Training for patient 205 ...
2025-05-11 22:36:13 - INFO - Training for patient 208 ...
2025-05-11 22:36:21 - INFO - Training for patient 210 ...
2025-05-11 22:36:25 - INFO - Training for patient 212 ...
2025-05-11 22:36:31 - INFO - Training for patient 214 ...
2025-05-11 22:36:36 - INFO - Training for patient 215 ...
2025-05-11 22:36:43 - INFO - Training for patient 219 ...
2025-05-11 22:36:48 - INFO - Training for patient 220 ...
2025-05-11 22:36:55 - INFO - Training for patient 221 ...
2025-05-11 22:37:01 - INFO - Training for patient 228 ...
2025-05-11 22:37:07 - INFO - Training for patient 230 ...
2025-05-11 22:37:13 - INFO - Training for patient 231 ...
2025-05-11 22:37:19 - INFO - Training for patient 232 ...
2025-05-11 22:37:26 - INFO - Training for patient 233 ...
2025-05-11 22:37:31 - INFO - Repeat 4/10 for epsilon 0.01
2025-05-11 22:37:31 - INFO - Training for patient 100 ...
2025-05-11 22:37:38 - INFO - Training for patient 101 ...
2025-05-11 22:37:43 - INFO - Training for patient 103 ...
2025-05-11 22:37:47 - INFO - Training for patient 106 ...
2025-05-11 22:37:53 - INFO - Training for patient 108 ...
2025-05-11 22:37:59 - INFO - Training for patient 109 ...
2025-05-11 22:38:04 - INFO - Training for patient 111 ...
2025-05-11 22:38:10 - INFO - Training for patient 112 ...
2025-05-11 22:38:17 - INFO - Training for patient 113 ...
2025-05-11 22:38:22 - INFO - Training for patient 115 ...
2025-05-11 22:38:29 - INFO - Training for patient 116 ...
2025-05-11 22:38:34 - INFO - Training for patient 117 ...
2025-05-11 22:38:40 - INFO - Training for patient 118 ...
2025-05-11 22:38:46 - INFO - Training for patient 119 ...
2025-05-11 22:38:52 - INFO - Training for patient 121 ...
2025-05-11 22:38:58 - INFO - Training for patient 122 ...
2025-05-11 22:39:03 - INFO - Training for patient 123 ...
2025-05-11 22:39:09 - INFO - Training for patient 124 ...
2025-05-11 22:39:16 - INFO - Training for patient 200 ...
2025-05-11 22:39:22 - INFO - Training for patient 203 ...
2025-05-11 22:39:28 - INFO - Training for patient 205 ...
2025-05-11 22:39:33 - INFO - Training for patient 208 ...
2025-05-11 22:39:40 - INFO - Training for patient 210 ...
2025-05-11 22:39:46 - INFO - Training for patient 212 ...
2025-05-11 22:39:53 - INFO - Training for patient 214 ...
2025-05-11 22:39:58 - INFO - Training for patient 215 ...
2025-05-11 22:40:04 - INFO - Training for patient 219 ...
2025-05-11 22:40:10 - INFO - Training for patient 220 ...
2025-05-11 22:40:16 - INFO - Training for patient 221 ...
2025-05-11 22:40:23 - INFO - Training for patient 228 ...
2025-05-11 22:40:30 - INFO - Training for patient 230 ...
2025-05-11 22:40:35 - INFO - Training for patient 231 ...
2025-05-11 22:40:41 - INFO - Training for patient 232 ...
2025-05-11 22:40:47 - INFO - Training for patient 233 ...
2025-05-11 22:40:53 - INFO - Repeat 5/10 for epsilon 0.01
2025-05-11 22:40:53 - INFO - Training for patient 100 ...
2025-05-11 22:40:59 - INFO - Training for patient 101 ...
2025-05-11 22:41:04 - INFO - Training for patient 103 ...
2025-05-11 22:41:10 - INFO - Training for patient 106 ...
2025-05-11 22:41:16 - INFO - Training for patient 108 ...
2025-05-11 22:41:21 - INFO - Training for patient 109 ...
2025-05-11 22:41:26 - INFO - Training for patient 111 ...
2025-05-11 22:41:32 - INFO - Training for patient 112 ...
2025-05-11 22:41:38 - INFO - Training for patient 113 ...
2025-05-11 22:41:44 - INFO - Training for patient 115 ...
2025-05-11 22:41:52 - INFO - Training for patient 116 ...
2025-05-11 22:41:58 - INFO - Training for patient 117 ...
2025-05-11 22:42:03 - INFO - Training for patient 118 ...
2025-05-11 22:42:09 - INFO - Training for patient 119 ...
2025-05-11 22:42:14 - INFO - Training for patient 121 ...
2025-05-11 22:42:19 - INFO - Training for patient 122 ...
2025-05-11 22:42:25 - INFO - Training for patient 123 ...
2025-05-11 22:42:31 - INFO - Training for patient 124 ...
2025-05-11 22:42:38 - INFO - Training for patient 200 ...
2025-05-11 22:42:44 - INFO - Training for patient 203 ...
2025-05-11 22:42:49 - INFO - Training for patient 205 ...
2025-05-11 22:42:55 - INFO - Training for patient 208 ...
2025-05-11 22:43:00 - INFO - Training for patient 210 ...
2025-05-11 22:43:06 - INFO - Training for patient 212 ...
2025-05-11 22:43:12 - INFO - Training for patient 214 ...
2025-05-11 22:43:17 - INFO - Training for patient 215 ...
2025-05-11 22:43:23 - INFO - Training for patient 219 ...
2025-05-11 22:43:29 - INFO - Training for patient 220 ...
2025-05-11 22:43:35 - INFO - Training for patient 221 ...
2025-05-11 22:43:41 - INFO - Training for patient 228 ...
2025-05-11 22:43:47 - INFO - Training for patient 230 ...
2025-05-11 22:43:53 - INFO - Training for patient 231 ...
2025-05-11 22:43:59 - INFO - Training for patient 232 ...
2025-05-11 22:44:06 - INFO - Training for patient 233 ...
2025-05-11 22:44:12 - INFO - Repeat 6/10 for epsilon 0.01
2025-05-11 22:44:12 - INFO - Training for patient 100 ...
2025-05-11 22:44:17 - INFO - Training for patient 101 ...
2025-05-11 22:44:21 - INFO - Training for patient 103 ...
2025-05-11 22:44:27 - INFO - Training for patient 106 ...
2025-05-11 22:44:32 - INFO - Training for patient 108 ...
2025-05-11 22:44:38 - INFO - Training for patient 109 ...
2025-05-11 22:44:44 - INFO - Training for patient 111 ...
2025-05-11 22:44:49 - INFO - Training for patient 112 ...
2025-05-11 22:44:56 - INFO - Training for patient 113 ...
2025-05-11 22:45:01 - INFO - Training for patient 115 ...
2025-05-11 22:45:08 - INFO - Training for patient 116 ...
2025-05-11 22:45:14 - INFO - Training for patient 117 ...
2025-05-11 22:45:19 - INFO - Training for patient 118 ...
2025-05-11 22:45:25 - INFO - Training for patient 119 ...
2025-05-11 22:45:32 - INFO - Training for patient 121 ...
2025-05-11 22:45:37 - INFO - Training for patient 122 ...
2025-05-11 22:45:44 - INFO - Training for patient 123 ...
2025-05-11 22:45:51 - INFO - Training for patient 124 ...
2025-05-11 22:45:57 - INFO - Training for patient 200 ...
2025-05-11 22:46:02 - INFO - Training for patient 203 ...
2025-05-11 22:46:09 - INFO - Training for patient 205 ...
2025-05-11 22:46:16 - INFO - Training for patient 208 ...
2025-05-11 22:46:23 - INFO - Training for patient 210 ...
2025-05-11 22:46:29 - INFO - Training for patient 212 ...
2025-05-11 22:46:34 - INFO - Training for patient 214 ...
2025-05-11 22:46:40 - INFO - Training for patient 215 ...
2025-05-11 22:46:47 - INFO - Training for patient 219 ...
2025-05-11 22:46:53 - INFO - Training for patient 220 ...
2025-05-11 22:46:58 - INFO - Training for patient 221 ...
2025-05-11 22:47:03 - INFO - Training for patient 228 ...
2025-05-11 22:47:11 - INFO - Training for patient 230 ...
2025-05-11 22:47:17 - INFO - Training for patient 231 ...
2025-05-11 22:47:23 - INFO - Training for patient 232 ...
2025-05-11 22:47:29 - INFO - Training for patient 233 ...
2025-05-11 22:47:35 - INFO - Repeat 7/10 for epsilon 0.01
2025-05-11 22:47:35 - INFO - Training for patient 100 ...
2025-05-11 22:47:42 - INFO - Training for patient 101 ...
2025-05-11 22:47:48 - INFO - Training for patient 103 ...
2025-05-11 22:47:53 - INFO - Training for patient 106 ...
2025-05-11 22:47:58 - INFO - Training for patient 108 ...
2025-05-11 22:48:04 - INFO - Training for patient 109 ...
2025-05-11 22:48:10 - INFO - Training for patient 111 ...
2025-05-11 22:48:17 - INFO - Training for patient 112 ...
2025-05-11 22:48:23 - INFO - Training for patient 113 ...
2025-05-11 22:48:30 - INFO - Training for patient 115 ...
2025-05-11 22:48:36 - INFO - Training for patient 116 ...
2025-05-11 22:48:41 - INFO - Training for patient 117 ...
2025-05-11 22:48:47 - INFO - Training for patient 118 ...
2025-05-11 22:48:53 - INFO - Training for patient 119 ...
2025-05-11 22:49:00 - INFO - Training for patient 121 ...
2025-05-11 22:49:04 - INFO - Training for patient 122 ...
2025-05-11 22:49:10 - INFO - Training for patient 123 ...
2025-05-11 22:49:16 - INFO - Training for patient 124 ...
2025-05-11 22:49:21 - INFO - Training for patient 200 ...
2025-05-11 22:49:28 - INFO - Training for patient 203 ...
2025-05-11 22:49:33 - INFO - Training for patient 205 ...
2025-05-11 22:49:38 - INFO - Training for patient 208 ...
2025-05-11 22:49:44 - INFO - Training for patient 210 ...
2025-05-11 22:49:49 - INFO - Training for patient 212 ...
2025-05-11 22:49:55 - INFO - Training for patient 214 ...
2025-05-11 22:50:01 - INFO - Training for patient 215 ...
2025-05-11 22:50:08 - INFO - Training for patient 219 ...
2025-05-11 22:50:15 - INFO - Training for patient 220 ...
2025-05-11 22:50:20 - INFO - Training for patient 221 ...
2025-05-11 22:50:26 - INFO - Training for patient 228 ...
2025-05-11 22:50:31 - INFO - Training for patient 230 ...
2025-05-11 22:50:37 - INFO - Training for patient 231 ...
2025-05-11 22:50:45 - INFO - Training for patient 232 ...
2025-05-11 22:50:50 - INFO - Training for patient 233 ...
2025-05-11 22:50:57 - INFO - Repeat 8/10 for epsilon 0.01
2025-05-11 22:50:57 - INFO - Training for patient 100 ...
2025-05-11 22:51:02 - INFO - Training for patient 101 ...
2025-05-11 22:51:08 - INFO - Training for patient 103 ...
2025-05-11 22:51:13 - INFO - Training for patient 106 ...
2025-05-11 22:51:19 - INFO - Training for patient 108 ...
2025-05-11 22:51:25 - INFO - Training for patient 109 ...
2025-05-11 22:51:31 - INFO - Training for patient 111 ...
2025-05-11 22:51:37 - INFO - Training for patient 112 ...
2025-05-11 22:51:43 - INFO - Training for patient 113 ...
2025-05-11 22:51:49 - INFO - Training for patient 115 ...
2025-05-11 22:51:55 - INFO - Training for patient 116 ...
2025-05-11 22:52:02 - INFO - Training for patient 117 ...
2025-05-11 22:52:07 - INFO - Training for patient 118 ...
2025-05-11 22:52:15 - INFO - Training for patient 119 ...
2025-05-11 22:52:20 - INFO - Training for patient 121 ...
2025-05-11 22:52:27 - INFO - Training for patient 122 ...
2025-05-11 22:52:32 - INFO - Training for patient 123 ...
2025-05-11 22:52:39 - INFO - Training for patient 124 ...
2025-05-11 22:52:45 - INFO - Training for patient 200 ...
2025-05-11 22:52:51 - INFO - Training for patient 203 ...
2025-05-11 22:52:57 - INFO - Training for patient 205 ...
2025-05-11 22:53:03 - INFO - Training for patient 208 ...
2025-05-11 22:53:10 - INFO - Training for patient 210 ...
2025-05-11 22:53:16 - INFO - Training for patient 212 ...
2025-05-11 22:53:22 - INFO - Training for patient 214 ...
2025-05-11 22:53:29 - INFO - Training for patient 215 ...
2025-05-11 22:53:34 - INFO - Training for patient 219 ...
2025-05-11 22:53:40 - INFO - Training for patient 220 ...
2025-05-11 22:53:46 - INFO - Training for patient 221 ...
2025-05-11 22:53:52 - INFO - Training for patient 228 ...
2025-05-11 22:53:57 - INFO - Training for patient 230 ...
